ID,Title,Author,Author First Name,Author Last Name,Publisher,Page Count,Genres,ISBN,Published Date,Checkout Date,Checkout Duration,Available Date,Available Status,Checkout,Edit
54,Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,Brian,McGilloway,Harper Collins,336,"Fiction, Mystery, Detective, Women Sleuths",9780062336583,18-Feb-14,,,,Available,Checkout,Edit
55,I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,Terry,Hayes,Random House,704,"Fiction, Thrillers, Suspense",9781448170609,18-Jul-13,,,,Available,Checkout,Edit
56,Civil War: Volume 1,Mark Millar,Mark,Millar,Marvel Entertainment,208,"Comics, Graphic Novels, Superheroes",9780785170242,1-Jan-11,,,,Available,Checkout,Edit
58,The Guardians: The explosive new thriller from international bestseller John Grisham,John Grisham,John,Grisham,Hachette UK,384,"Fiction, Thrillers, Suspense",9781473684454,15-Oct-19,,,,Available,Checkout,Edit
61,The Art Of Seduction,Robert Greene,Robert,Greene,Profile Books,272,"Self-Help, Personal Growth, General",9781847651402,3-Sep-10,,,,Available,Checkout,Edit
62,Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,Michael,Porter,Simon and Schuster,592,"Business, Economics, Industries, General",9781416595847,30-Jun-08,,,,Available,Checkout,Edit
63,Marketing (The Brian Tracy Success Library),Brian Tracy,Brian,Tracy,AMACOM,112,"Business, Economics, Marketing, General",9780814434222,11-Jun-14,,,,Available,Checkout,Edit
66,The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,Robert,Jordan,Tor Books,704,"Fiction, Fantasy, Epic",9781429960373,16-Feb-10,,,,Available,Checkout,Edit
67,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,T.,Eker,Harper Collins,224,"Business, Economics, Motivational",9780061793660,13-Oct-09,,,,Available,Checkout,Edit
69,A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,George,Martin,Bantam,720,"Fiction, Fantasy, Epic",9780553897845,1-Jan-03,,,,Available,Checkout,Edit
71,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,Derren,Brown,Random House,576,"Self-Help, Personal Growth, General",9781473526853,22-Sep-16,,,,Available,Checkout,Edit
72,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,Arthur,Doyle,Simon and Schuster,320,"Fiction, Mystery, Detective, Private Investigators",9781476797502,18-Nov-14,,,,Available,Checkout,Edit
73,The Ultimate Secrets of Total Self-Confidence,Robert Anthony,Robert,Anthony,Penguin,240,"Self-Help, Personal Growth, Self-Esteem",9781101042892,15-Nov-86,,,,Available,Checkout,Edit
75,Bring Me Back,B A Paris,B A,Paris,HarperCollins UK,368,"Fiction, Thrillers, Crime",9780008244880,8-Mar-18,,,,Available,Checkout,Edit
76,Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,Jim,Collins,Harper Collins,320,"Business, Economics, Management",9780062119209,19-Jul-11,,,,Available,Checkout,Edit
77,How to Understand Business Finance: Edition 2,Bob Cinnamon,Bob,Cinnamon,Kogan Page Publishers,176,"Business, Economics, Corporate Finance, General",9780749460211,3-Apr-10,,,,Available,Checkout,Edit
78,No Mercy: The brand new novel from the Queen of Crime,Martina Cole,Martina,Cole,Hachette UK,416,"Fiction, Crime",9781472249425,15-Oct-19,,,,Available,Checkout,Edit
79,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,Morgan,Rice,Morgan Rice,250,"Fiction, Science Fiction, General",9781632913296,1-Jul-15,,,,Available,Checkout,Edit
84,Final Option: 'The best one yet',Clive Cussler,Clive,Cussler,Penguin UK,400,"Fiction, Crime",9781405941020,14-Nov-19,,,,Available,Checkout,Edit
88,Rework,Jason Fried,Jason,Fried,Currency,288,"Business, Economics, Personal Success",9780307463760,9-Mar-10,,,,Available,Checkout,Edit
89,The Red Signal: An Agatha Christie Short Story,Agatha Christie,Agatha,Christie,HarperCollins UK,40,"Fiction, Mystery, Detective, Hard-Boiled",9780007452170,1-Sep-11,,,,Available,Checkout,Edit
93,"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,Paul,Kemp,Wizards of the Coast,352,"Fiction, Fantasy, Epic",9780786956890,21-Apr-10,,,,Available,Checkout,Edit
